trial,params,R2,-MAE,-RMSE,-MAPE,time_sec
9,"{'depth': 7, 'learning_rate': 0.16680994077445632, 'l2_leaf_reg': 1.4535672756798013, 'bagging_temperature': 0.2883281039302441, 'random_strength': 0.6824955039749755, 'border_count': 218, 'n_estimators': 1037}",-0.02256742294971743,-12125.011413298645,-14031.227606229328,-1.275213047199338,10.22992491722107
14,"{'depth': 6, 'learning_rate': 0.17507852245558825, 'l2_leaf_reg': 0.5032901810421665, 'bagging_temperature': 0.05830274168906602, 'random_strength': 0.28138389202199654, 'border_count': 237, 'n_estimators': 693}",-0.02259390097012275,-12141.111599294203,-14028.117076234194,-1.2692189074967666,8.492305278778076
12,"{'depth': 7, 'learning_rate': 0.11008635504433253, 'l2_leaf_reg': 4.962589124369391, 'bagging_temperature': 0.7649988574160256, 'random_strength': 0.6347183200005908, 'border_count': 158, 'n_estimators': 954}",-0.022637705840575874,-12132.034699006734,-14029.933213332104,-1.2746893253790397,9.704765796661377
22,"{'depth': 8, 'learning_rate': 0.15894832007198573, 'l2_leaf_reg': 14.40087457349415, 'bagging_temperature': 0.4320930397751037, 'random_strength': 0.6273088407024432, 'border_count': 63, 'n_estimators': 984}",-0.023593003394900003,-12140.490324628192,-14037.007411472605,-1.2726955095850354,11.414210796356201
19,"{'depth': 5, 'learning_rate': 0.1844587174202932, 'l2_leaf_reg': 12.56381119782109, 'bagging_temperature': 0.2658699614595196, 'random_strength': 0.9691763773477239, 'border_count': 247, 'n_estimators': 663}",-0.02488437081382222,-12128.672823401492,-14046.303645464668,-1.2716908439721961,6.896046876907349
7,"{'depth': 8, 'learning_rate': 0.10982448791688736, 'l2_leaf_reg': 0.3701809599112694, 'bagging_temperature': 0.12992150533547164, 'random_strength': 0.47570492622593374, 'border_count': 114, 'n_estimators': 730}",-0.02536361849293165,-12143.642719011057,-14047.860423603459,-1.2771633180874338,6.76367974281311
25,"{'depth': 8, 'learning_rate': 0.0889678667709223, 'l2_leaf_reg': 5.925792970318422, 'bagging_temperature': 0.022803871029697498, 'random_strength': 0.9585592132414453, 'border_count': 162, 'n_estimators': 818}",-0.025671067158390338,-12134.06760296389,-14051.366088009414,-1.269964317033193,9.993358612060547
8,"{'depth': 5, 'learning_rate': 0.14386837909602676, 'l2_leaf_reg': 2.0485933406128134, 'bagging_temperature': 0.8326781960578374, 'random_strength': 0.7002651020022491, 'border_count': 53, 'n_estimators': 712}",-0.025807845471682845,-12138.93359891358,-14052.12385742946,-1.276040490026589,6.397240877151489
16,"{'depth': 8, 'learning_rate': 0.05838539638430967, 'l2_leaf_reg': 0.11698662699477451, 'bagging_temperature': 0.09004786077564175, 'random_strength': 0.7223593505964503, 'border_count': 188, 'n_estimators': 862}",-0.025927414573530583,-12126.547862118177,-14052.366206571136,-1.2789995251233555,9.015182733535767
20,"{'depth': 7, 'learning_rate': 0.15187133215702925, 'l2_leaf_reg': 2.2288688076120704, 'bagging_temperature': 0.272241561845159, 'random_strength': 0.0963909621534993, 'border_count': 132, 'n_estimators': 1303}",-0.028098084682991777,-12164.73290779925,-14065.016909695705,-1.2722234099395089,10.16200065612793
2,"{'depth': 8, 'learning_rate': 0.15939374933836, 'l2_leaf_reg': 22.81355236625612, 'bagging_temperature': 0.12811363267554587, 'random_strength': 0.45038593789556713, 'border_count': 144, 'n_estimators': 771}",-0.02824704278096901,-12169.942020899214,-14066.077957447007,-1.2756540679910624,7.146327257156372
24,"{'depth': 5, 'learning_rate': 0.05456911210722797, 'l2_leaf_reg': 0.20427202922274015, 'bagging_temperature': 0.587644572177712, 'random_strength': 0.1705929685368861, 'border_count': 99, 'n_estimators': 1326}",-0.028613877007721267,-12163.33786792344,-14071.333816886947,-1.2837473856799773,7.240216255187988
15,"{'depth': 6, 'learning_rate': 0.12469546589801732, 'l2_leaf_reg': 22.474737466287834, 'bagging_temperature': 0.6643135403273875, 'random_strength': 0.4063868614400705, 'border_count': 180, 'n_estimators': 818}",-0.028908701773086753,-12177.15727460899,-14071.557024060492,-1.272695586675105,6.942396640777588
17,"{'depth': 7, 'learning_rate': 0.11517761176757181, 'l2_leaf_reg': 0.2863757952026766, 'bagging_temperature': 0.696320375077736, 'random_strength': 0.4461562755740307, 'border_count': 68, 'n_estimators': 566}",-0.028943272377779383,-12166.813368989706,-14074.595554096168,-1.2780677745986169,8.571303606033325
4,"{'depth': 6, 'learning_rate': 0.040848933537709804, 'l2_leaf_reg': 30.401395269679966, 'bagging_temperature': 0.6316643991220648, 'random_strength': 0.7580877400853738, 'border_count': 188, 'n_estimators': 754}",-0.03078096838898925,-12192.17718817056,-14086.244293408392,-1.2778955571987116,4.150133848190308
6,"{'depth': 4, 'learning_rate': 0.05622921365148313, 'l2_leaf_reg': 11.198164932559393, 'bagging_temperature': 0.7447621559078171, 'random_strength': 0.96750973243421, 'border_count': 124, 'n_estimators': 726}",-0.031201042512539877,-12195.011379764645,-14088.871868620932,-1.2799642396264057,3.424650192260742
10,"{'depth': 4, 'learning_rate': 0.06398439442076842, 'l2_leaf_reg': 0.10521721669668509, 'bagging_temperature': 0.7869243775021384, 'random_strength': 0.6648508565920321, 'border_count': 137, 'n_estimators': 1105}",-0.031248226367975994,-12194.380894593078,-14088.82254122642,-1.2772574908712664,5.122150182723999
5,"{'depth': 4, 'learning_rate': 0.1818305906247736, 'l2_leaf_reg': 21.634680763066203, 'bagging_temperature': 0.19463870785196757, 'random_strength': 0.4667210037270342, 'border_count': 249, 'n_estimators': 898}",-0.03154985863971551,-12194.559487986036,-14090.70760185942,-1.2780904692873896,3.5033674240112305
23,"{'depth': 4, 'learning_rate': 0.044355534593781144, 'l2_leaf_reg': 1.7677555381707621, 'bagging_temperature': 0.04161417386189248, 'random_strength': 0.49399081924451893, 'border_count': 177, 'n_estimators': 588}",-0.03155474539894261,-12197.567014372462,-14091.263472191966,-1.277614260798688,5.352537631988525
18,"{'depth': 5, 'learning_rate': 0.08125705515513901, 'l2_leaf_reg': 7.777638962486078, 'bagging_temperature': 0.3618126105533904, 'random_strength': 0.087649919316101, 'border_count': 108, 'n_estimators': 518}",-0.03157214840002798,-12183.538582179957,-14092.04141415995,-1.2798929877716483,7.139707326889038
13,"{'depth': 4, 'learning_rate': 0.08167151667064407, 'l2_leaf_reg': 0.12372387219901174, 'bagging_temperature': 0.43671738923236236, 'random_strength': 0.2145846728195292, 'border_count': 157, 'n_estimators': 676}",-0.03182234046689878,-12201.495450748986,-14092.610335734731,-1.27763701900598,5.687654256820679
1,"{'depth': 4, 'learning_rate': 0.10460933475784889, 'l2_leaf_reg': 37.65249501831186, 'bagging_temperature': 0.6973680290593639, 'random_strength': 0.09417734788764953, 'border_count': 205, 'n_estimators': 927}",-0.03186466995158486,-12190.154519217105,-14094.45251446029,-1.2793727372045551,4.168003082275391
3,"{'depth': 4, 'learning_rate': 0.13945707041371297, 'l2_leaf_reg': 29.39576994059532, 'bagging_temperature': 0.44341419882733113, 'random_strength': 0.2272387217847769, 'border_count': 239, 'n_estimators': 492}",-0.03212715008552576,-12200.220200632535,-14095.048954077623,-1.2826905136683755,3.6212925910949707
11,"{'depth': 5, 'learning_rate': 0.1080156818415178, 'l2_leaf_reg': 5.084211256775241, 'bagging_temperature': 0.13979699812765745, 'random_strength': 0.11453007353597344, 'border_count': 206, 'n_estimators': 840}",-0.03214700846173222,-12195.622127505094,-14093.785158607872,-1.2811868673196087,7.32194972038269
21,"{'depth': 4, 'learning_rate': 0.06440177201518915, 'l2_leaf_reg': 0.827694124768673, 'bagging_temperature': 0.579219568941896, 'random_strength': 0.1767727829392317, 'border_count': 134, 'n_estimators': 863}",-0.03290975116324697,-12201.755545852906,-14100.376256165424,-1.2784916721490114,5.243459701538086
